apt	2.6.1	CVE-2011-3374	LOW	It was found that apt-key in apt, all versions, do not correctly valid ...
bash	5.2.15-2+b7	TEMP-0841856-B18BAF	LOW	[Privilege escalation possible to other user than root]
binutils	2.40-2	CVE-2017-13716	LOW	binutils: Memory leak with the C++ symbol demangler routine in libiberty
binutils	2.40-2	CVE-2018-20673	LOW	libiberty: Integer overflow in demangle_template() function
binutils	2.40-2	CVE-2018-20712	LOW	libiberty: heap-based buffer over-read in d_expression_1
binutils	2.40-2	CVE-2018-9996	LOW	binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
binutils	2.40-2	CVE-2021-32256	LOW	binutils: stack-overflow issue in demangle_type in rust-demangle.c.
binutils	2.40-2	CVE-2023-1972	LOW	binutils: Illegal memory access when accessing a zer0-lengthverdef table
binutils	2.40-2	CVE-2024-53589	LOW	binutils: objdump: buffer Overflow in the BFD library's handling of tekhex format files
binutils	2.40-2	CVE-2024-57360	LOW	binutils: nm: potential segmentation fault when displaying symbols without version info
binutils	2.40-2	CVE-2025-0840	LOW	binutils: GNU Binutils objdump.c disassemble_bytes stack-based overflow
binutils	2.40-2	CVE-2025-1147	LOW	binutils: GNU Binutils nm nm.c internal_strlen buffer overflow
binutils	2.40-2	CVE-2025-1148	LOW	binutils: GNU Binutils ld ldelfgen.c link_order_scan memory leak
binutils	2.40-2	CVE-2025-1149	LOW	binutils: GNU Binutils ld xmalloc.c xstrdup memory leak
binutils	2.40-2	CVE-2025-1150	LOW	binutils: GNU Binutils ld libbfd.c bfd_malloc memory leak
binutils	2.40-2	CVE-2025-1151	LOW	binutils: GNU Binutils ld xmemdup.c xmemdup memory leak
binutils	2.40-2	CVE-2025-1152	LOW	binutils: GNU Binutils ld xstrdup.c xstrdup memory leak
binutils	2.40-2	CVE-2025-1153	LOW	binutils: GNU Binutils format.c bfd_set_format memory corruption
binutils	2.40-2	CVE-2025-1176	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec heap-based overflow
binutils	2.40-2	CVE-2025-1178	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
binutils	2.40-2	CVE-2025-1179	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
binutils	2.40-2	CVE-2025-1180	LOW	binutils: GNU Binutils ld elf-eh-frame.c _bfd_elf_write_section_eh_frame memory corruption
binutils	2.40-2	CVE-2025-1181	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec memory corruption
binutils	2.40-2	CVE-2025-1182	LOW	binutils: GNU Binutils ld elflink.c bfd_elf_reloc_symbol_deleted_p memory corruption
binutils	2.40-2	CVE-2025-3198	LOW	binutils: GNU Binutils objdump bucomm.c display_info memory leak
binutils-common	2.40-2	CVE-2017-13716	LOW	binutils: Memory leak with the C++ symbol demangler routine in libiberty
binutils-common	2.40-2	CVE-2018-20673	LOW	libiberty: Integer overflow in demangle_template() function
binutils-common	2.40-2	CVE-2018-20712	LOW	libiberty: heap-based buffer over-read in d_expression_1
binutils-common	2.40-2	CVE-2018-9996	LOW	binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
binutils-common	2.40-2	CVE-2021-32256	LOW	binutils: stack-overflow issue in demangle_type in rust-demangle.c.
binutils-common	2.40-2	CVE-2023-1972	LOW	binutils: Illegal memory access when accessing a zer0-lengthverdef table
binutils-common	2.40-2	CVE-2024-53589	LOW	binutils: objdump: buffer Overflow in the BFD library's handling of tekhex format files
binutils-common	2.40-2	CVE-2024-57360	LOW	binutils: nm: potential segmentation fault when displaying symbols without version info
binutils-common	2.40-2	CVE-2025-0840	LOW	binutils: GNU Binutils objdump.c disassemble_bytes stack-based overflow
binutils-common	2.40-2	CVE-2025-1147	LOW	binutils: GNU Binutils nm nm.c internal_strlen buffer overflow
binutils-common	2.40-2	CVE-2025-1148	LOW	binutils: GNU Binutils ld ldelfgen.c link_order_scan memory leak
binutils-common	2.40-2	CVE-2025-1149	LOW	binutils: GNU Binutils ld xmalloc.c xstrdup memory leak
binutils-common	2.40-2	CVE-2025-1150	LOW	binutils: GNU Binutils ld libbfd.c bfd_malloc memory leak
binutils-common	2.40-2	CVE-2025-1151	LOW	binutils: GNU Binutils ld xmemdup.c xmemdup memory leak
binutils-common	2.40-2	CVE-2025-1152	LOW	binutils: GNU Binutils ld xstrdup.c xstrdup memory leak
binutils-common	2.40-2	CVE-2025-1153	LOW	binutils: GNU Binutils format.c bfd_set_format memory corruption
binutils-common	2.40-2	CVE-2025-1176	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec heap-based overflow
binutils-common	2.40-2	CVE-2025-1178	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
binutils-common	2.40-2	CVE-2025-1179	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
binutils-common	2.40-2	CVE-2025-1180	LOW	binutils: GNU Binutils ld elf-eh-frame.c _bfd_elf_write_section_eh_frame memory corruption
binutils-common	2.40-2	CVE-2025-1181	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec memory corruption
binutils-common	2.40-2	CVE-2025-1182	LOW	binutils: GNU Binutils ld elflink.c bfd_elf_reloc_symbol_deleted_p memory corruption
binutils-common	2.40-2	CVE-2025-3198	LOW	binutils: GNU Binutils objdump bucomm.c display_info memory leak
binutils-x86-64-linux-gnu	2.40-2	CVE-2017-13716	LOW	binutils: Memory leak with the C++ symbol demangler routine in libiberty
binutils-x86-64-linux-gnu	2.40-2	CVE-2018-20673	LOW	libiberty: Integer overflow in demangle_template() function
binutils-x86-64-linux-gnu	2.40-2	CVE-2018-20712	LOW	libiberty: heap-based buffer over-read in d_expression_1
binutils-x86-64-linux-gnu	2.40-2	CVE-2018-9996	LOW	binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
binutils-x86-64-linux-gnu	2.40-2	CVE-2021-32256	LOW	binutils: stack-overflow issue in demangle_type in rust-demangle.c.
binutils-x86-64-linux-gnu	2.40-2	CVE-2023-1972	LOW	binutils: Illegal memory access when accessing a zer0-lengthverdef table
binutils-x86-64-linux-gnu	2.40-2	CVE-2024-53589	LOW	binutils: objdump: buffer Overflow in the BFD library's handling of tekhex format files
binutils-x86-64-linux-gnu	2.40-2	CVE-2024-57360	LOW	binutils: nm: potential segmentation fault when displaying symbols without version info
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-0840	LOW	binutils: GNU Binutils objdump.c disassemble_bytes stack-based overflow
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1147	LOW	binutils: GNU Binutils nm nm.c internal_strlen buffer overflow
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1148	LOW	binutils: GNU Binutils ld ldelfgen.c link_order_scan memory leak
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1149	LOW	binutils: GNU Binutils ld xmalloc.c xstrdup memory leak
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1150	LOW	binutils: GNU Binutils ld libbfd.c bfd_malloc memory leak
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1151	LOW	binutils: GNU Binutils ld xmemdup.c xmemdup memory leak
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1152	LOW	binutils: GNU Binutils ld xstrdup.c xstrdup memory leak
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1153	LOW	binutils: GNU Binutils format.c bfd_set_format memory corruption
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1176	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec heap-based overflow
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1178	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1179	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1180	LOW	binutils: GNU Binutils ld elf-eh-frame.c _bfd_elf_write_section_eh_frame memory corruption
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1181	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec memory corruption
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-1182	LOW	binutils: GNU Binutils ld elflink.c bfd_elf_reloc_symbol_deleted_p memory corruption
binutils-x86-64-linux-gnu	2.40-2	CVE-2025-3198	LOW	binutils: GNU Binutils objdump bucomm.c display_info memory leak
bsdutils	1:2.38.1-5+deb12u3	CVE-2022-0563	LOW	util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline
coreutils	9.1-1	CVE-2016-2781	LOW	coreutils: Non-privileged session can escape to the parent session in chroot
coreutils	9.1-1	CVE-2017-18018	LOW	coreutils: race condition vulnerability in chown and chgrp
cpp-12	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
cpp-12	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
curl	7.88.1-10+deb12u12	CVE-2024-2379	LOW	curl: QUIC certificate check bypass with wolfSSL
curl	7.88.1-10+deb12u12	CVE-2025-0725	LOW	libcurl: Buffer Overflow in libcurl via zlib Integer Overflow
dirmngr	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
dirmngr	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
g++-12	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
g++-12	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
gcc-12	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
gcc-12	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
gcc-12-base	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
gcc-12-base	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
git	1:2.39.5-0+deb12u2	CVE-2018-1000021	LOW	git: client prints server-sent ANSI escape codes to the terminal, allowing for unverified messages to potentially execute arbitrary commands
git	1:2.39.5-0+deb12u2	CVE-2022-24975	LOW	git: The --mirror option for git leaks secret for deleted content, aka the "GitBleed"
git	1:2.39.5-0+deb12u2	CVE-2024-52005	LOW	git: The sideband payload is passed unfiltered to the terminal in git
git-man	1:2.39.5-0+deb12u2	CVE-2018-1000021	LOW	git: client prints server-sent ANSI escape codes to the terminal, allowing for unverified messages to potentially execute arbitrary commands
git-man	1:2.39.5-0+deb12u2	CVE-2022-24975	LOW	git: The --mirror option for git leaks secret for deleted content, aka the "GitBleed"
git-man	1:2.39.5-0+deb12u2	CVE-2024-52005	LOW	git: The sideband payload is passed unfiltered to the terminal in git
gnupg	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gnupg	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gnupg-l10n	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gnupg-l10n	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gnupg-utils	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gnupg-utils	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gpg	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gpg	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gpg-agent	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gpg-agent	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gpg-wks-client	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gpg-wks-client	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gpg-wks-server	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gpg-wks-server	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gpgconf	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gpgconf	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gpgsm	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gpgsm	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
gpgv	2.2.40-1.1	CVE-2022-3219	LOW	gnupg: denial of service issue (resource consumption) using compressed packets
gpgv	2.2.40-1.1	CVE-2025-30258	LOW	gnupg: verification DoS due to a malicious subkey in the keyring
libapt-pkg6.0	2.6.1	CVE-2011-3374	LOW	It was found that apt-key in apt, all versions, do not correctly valid ...
libasan8	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libasan8	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libatomic1	12.2.0-14	CVE-2022-27943	LOW	binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const
libatomic1	12.2.0-14	CVE-2023-4039	LOW	gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64
libbinutils	2.40-2	CVE-2017-13716	LOW	binutils: Memory leak with the C++ symbol demangler routine in libiberty
libbinutils	2.40-2	CVE-2018-20673	LOW	libiberty: Integer overflow in demangle_template() function
libbinutils	2.40-2	CVE-2018-20712	LOW	libiberty: heap-based buffer over-read in d_expression_1
libbinutils	2.40-2	CVE-2018-9996	LOW	binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
libbinutils	2.40-2	CVE-2021-32256	LOW	binutils: stack-overflow issue in demangle_type in rust-demangle.c.
libbinutils	2.40-2	CVE-2023-1972	LOW	binutils: Illegal memory access when accessing a zer0-lengthverdef table
libbinutils	2.40-2	CVE-2024-53589	LOW	binutils: objdump: buffer Overflow in the BFD library's handling of tekhex format files
libbinutils	2.40-2	CVE-2024-57360	LOW	binutils: nm: potential segmentation fault when displaying symbols without version info
libbinutils	2.40-2	CVE-2025-0840	LOW	binutils: GNU Binutils objdump.c disassemble_bytes stack-based overflow
libbinutils	2.40-2	CVE-2025-1147	LOW	binutils: GNU Binutils nm nm.c internal_strlen buffer overflow
libbinutils	2.40-2	CVE-2025-1148	LOW	binutils: GNU Binutils ld ldelfgen.c link_order_scan memory leak
libbinutils	2.40-2	CVE-2025-1149	LOW	binutils: GNU Binutils ld xmalloc.c xstrdup memory leak
libbinutils	2.40-2	CVE-2025-1150	LOW	binutils: GNU Binutils ld libbfd.c bfd_malloc memory leak
libbinutils	2.40-2	CVE-2025-1151	LOW	binutils: GNU Binutils ld xmemdup.c xmemdup memory leak
libbinutils	2.40-2	CVE-2025-1152	LOW	binutils: GNU Binutils ld xstrdup.c xstrdup memory leak
libbinutils	2.40-2	CVE-2025-1153	LOW	binutils: GNU Binutils format.c bfd_set_format memory corruption
libbinutils	2.40-2	CVE-2025-1176	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec heap-based overflow
libbinutils	2.40-2	CVE-2025-1178	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
libbinutils	2.40-2	CVE-2025-1179	LOW	binutils: GNU Binutils ld libbfd.c bfd_putl64 memory corruption
libbinutils	2.40-2	CVE-2025-1180	LOW	binutils: GNU Binutils ld elf-eh-frame.c _bfd_elf_write_section_eh_frame memory corruption
libbinutils	2.40-2	CVE-2025-1181	LOW	binutils: GNU Binutils ld elflink.c _bfd_elf_gc_mark_rsec memory corruption
libbinutils	2.40-2	CVE-2025-1182	LOW	binutils: GNU Binutils ld elflink.c bfd_elf_reloc_symbol_deleted_p memory corruption
libbinutils	2.40-2	CVE-2025-3198	LOW	binutils: GNU Binutils objdump bucomm.c display_info memory leak
libblkid1	2.38.1-5+deb12u3	CVE-2022-0563	LOW	util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline
libc-bin	2.36-9+deb12u10	CVE-2010-4756	LOW	glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions
libc-bin	2.36-9+deb12u10	CVE-2018-20796	LOW	glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
libc-bin	2.36-9+deb12u10	CVE-2019-1010022	LOW	glibc: stack guard protection bypass
libc-bin	2.36-9+deb12u10	CVE-2019-1010023	LOW	glibc: running ldd on malicious ELF leads to code execution because of wrong size computation
libc-bin	2.36-9+deb12u10	CVE-2019-1010024	LOW	glibc: ASLR bypass using cache of thread stack and heap
